week,away_team,home_team,away_score,home_score
1,VGS,ARL,20,22
1,ORL,HOU,12,33
1,STL,SA,18,15
1,SEA,DC,18,22
2,STL,SEA,20,18
2,DC,VGS,18,6
2,SA,ORL,30,12
2,ARL,HOU,14,23
3,SEA,VGS,30,26
3,STL,DC,28,34
3,ORL,ARL,9,10
3,SA,HOU,13,22
4,HOU,ORL,44,16
4,SA,SEA,6,15
4,ARL,STL,11,24
4,VGS,DC,18,32
5,HOU,SEA,14,21
5,DC,STL,28,20
5,ORL,VGS,32,35
5,ARL,SA,12,10
6,SEA,ORL,26,19
6,STL,VGS,29,6
6,SA,ARL,15,9
6,HOU,DC,26,37
7,SEA,ARL,24,15
7,SA,VGS,12,26
7,DC,ORL,36,37
7,STL,HOU,24,15
8,VGS,STL,17,21
8,ARL,ORL,18,16
8,HOU,SA,17,15
8,DC,SEA,34,33
